id;start_date;end_date;language
1;2019-11-07T18:30:38;2019-11-07T11:38:55;FRENCH
2;2019-11-07T20:00:43;2019-11-07T05:06:54;ENGLISH
3;2019-11-07T15:32:48;2019-11-07T06:56:48;SPANISH
4;2019-11-07T04:44:39;2019-11-07T12:11:41;FRENCH
5;2019-11-07T13:43:18;2019-11-07T18:27:27;SPANISH
6;2019-11-07T20:00:19;2019-11-07T21:17:15;SPANISH
7;2019-11-07T05:22:39;2019-11-07T18:03:26;FRENCH
8;2019-11-07T02:53:58;2019-11-07T10:54:07;FRENCH
9;2019-11-07T12:42:04;2019-11-07T21:06:42;FRENCH
10;2019-11-07T16:00:13;2019-11-07T13:16:28;FRENCH
